refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),color_text,eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,65,0,1,1,2,1.0,64.0,1.0,0.5432446,1.0,0.014469664207771075
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,66,0,2,0,2,1.0,65.0,0.0,0.3258985,1.0,0.020257705717824762
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,67,0,2,1,2,1.0,66.0,1.0,0.2970431,1.0,0.019860687103523404
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,68,0,2,1,2,1.0,67.0,1.0,0.4283795,1.0,0.019471449418725976
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,69,0,1,1,2,1.0,68.0,1.0,0.4193765,1.0,0.013908057440071123
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,70,0,1,1,2,1.0,69.0,1.0,0.3023748,1.0,0.013368248148594363
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,71,0,1,1,2,1.0,70.0,1.0,0.3859261,1.0,0.012849390314387626
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,72,0,1,1,2,1.0,71.0,1.0,0.2697805,1.0,0.012350670754779419
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,73,0,2,0,2,1.0,72.0,0.0,0.3492128,1.0,0.019089840169665778
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,74,0,1,1,2,1.0,73.0,1.0,0.3001908,1.0,0.010967676021633076
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,75,0,1,0,2,1.0,74.0,0.0,0.2951827,1.0,0.010132827726011519
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,76,0,1,1,2,1.0,75.0,0.0,0.3154343,0.0,0.009739545301129157
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,77,0,1,0,2,1.0,76.0,0.0,0.4770931,1.0,0.012849390314387626
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,78,0,1,1,2,1.0,77.0,1.0,0.2965357,1.0,0.012597562826699979
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,79,0,1,0,2,1.0,78.0,0.0,0.3242596,1.0,0.0121086173723749
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,80,0,1,0,2,1.0,79.0,0.0,0.3350045,1.0,0.010967676021633076
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,81,361,2,0,3,1.0,80.0,0.0,0.6109274,1.0,0.011410550312757525
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,82,361,1,0,3,1.0,81.0,0.0,0.3534954,1.0,0.011410550312757525
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,83,361,2,0,3,1.0,82.0,0.0,0.5127163,1.0,0.006956757690467928
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,84,361,1,0,3,1.0,83.0,0.0,0.4392814,1.0,0.006956757690467928
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,85,361,2,1,3,1.0,84.0,1.0,0.3745872,1.0,0.004682600487639664
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,86,361,1,0,3,1.0,85.0,0.0,0.3654639,1.0,0.004682600487639664
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,87,361,2,0,3,1.0,86.0,0.0,0.4204443,1.0,0.0034115464546677645
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,88,361,1,0,3,1.0,87.0,1.0,0.3157569,0.0,0.0034115464546677645
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,89,361,1,0,3,1.0,88.0,1.0,0.302256,0.0,0.0076804527103144565
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,90,361,1,1,3,1.0,89.0,1.0,0.370799,1.0,0.019860687103523404
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,91,361,1,0,3,1.0,90.0,0.0,0.4373997,1.0,0.015053948632856707
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,92,361,2,0,3,1.0,91.0,0.0,0.4928632,1.0,0.002690292041773133
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,93,361,2,1,3,1.0,92.0,1.0,0.3443175,1.0,0.0022071890938715104
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,94,361,2,0,3,1.0,93.0,0.0,0.3791697,1.0,0.0019216204938273754
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,95,361,2,1,3,1.0,94.0,1.0,0.3836296,1.0,0.0017064426241524917
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,96,361,1,0,3,1.0,95.0,0.0,0.5025769,1.0,0.012350670754779419
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,97,361,1,1,3,1.0,96.0,1.0,0.322955,1.0,0.010335384727275678
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,98,361,1,1,3,1.0,97.0,1.0,0.284909,1.0,0.00882183111215549
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,99,361,1,0,3,1.0,98.0,0.0,0.4877649,1.0,0.006820416372414831
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,100,361,2,0,3,1.0,99.0,1.0,0.3427771,0.0,0.0015765499546808801
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,101,361,1,1,3,1.0,100.0,1.0,0.4302747,1.0,0.006301253244993052
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,102,361,1,1,3,1.0,101.0,1.0,0.408754,1.0,0.005707514078281028
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,103,361,2,1,3,1.0,102.0,1.0,0.2797194,1.0,0.0021639317197267717
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,104,361,2,0,3,1.0,103.0,0.0,0.491037,1.0,0.0019992154476111473
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,105,361,1,1,3,1.0,104.0,1.0,0.3620274,1.0,0.005169720321851946
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,106,361,1,0,3,1.0,105.0,0.0,0.5100975,1.0,0.004682600487639664
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,107,361,1,0,3,1.0,106.0,1.0,0.4747582,0.0,0.004158255539870081
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,108,361,1,1,3,1.0,107.0,1.0,0.3820128,1.0,0.005595655935901615
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,109,361,1,1,3,1.0,108.0,1.0,0.2663972,1.0,0.0052730639366930995
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,110,361,2,1,3,1.0,109.0,1.0,0.3774741,1.0,0.0018470372098763372
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,111,361,2,1,3,1.0,110.0,1.0,0.3323701,1.0,0.0017405547111359067
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,112,361,1,1,3,1.0,111.0,1.0,0.4756564,1.0,0.004969069506589162
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,113,361,2,0,3,1.0,112.0,0.0,0.4273113,1.0,0.0016080654644475714
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,114,361,1,1,3,1.0,113.0,1.0,0.275011,1.0,0.004682600487639664
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,115,361,2,1,3,1.0,114.0,1.0,0.3383539,1.0,0.0014856611638834445
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,116,361,2,0,3,1.0,115.0,1.0,0.2847928,0.0,0.0014279986395729066
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,117,361,1,1,3,1.0,116.0,1.0,0.3800133,1.0,0.004412646532266771
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,118,361,2,0,3,1.0,117.0,1.0,0.3947172,0.0,0.0017405547111359067
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,119,361,2,0,3,1.0,118.0,1.0,0.3348769,0.0,0.0019992154476111473
